"","title","point","review"
"244","È£µÎ±î±â ÀÎÇü°ú 4°³ÀÇ ¿Õ±¹","3","È£µÎ±î±â ÀÎÇü°ú 4°³ÀÇ ¿Õ±¹ÃÊµî¾ÖµéÀÌ¶û °°ÀÌ º¸°í ½Í¾î¼­ °³ºÀÇÒ¶§±îÁö ±â´Ù·È´Âµ¥ ´ë±¸ ´Â ¿Ö »ó¿µ ¾ÈÇÏ³ª¿ä? ±ØÀå¿¡¼­ »ó¿µÀ» ¾ÈÇÏ´Ï º¼¼ö°¡ ÀÖ¾î¾ßÁö...ÀÌ°Å¿ø..¾ÖµéÀÌ ÀÜ¶à ±â´ëÇß´Âµ¥  »ó¿µ¾ÈÇÑ´ÙÇÏ´Ï ¿ï¾î¿ä "
"245","º¸Çì¹Ì¾È ·¦¼Òµð","8","º¸Çì¹Ì¾È ·¦¼Òµð¿µÈ­ ÀÚÃ¼´Â ¾Æ½±Áö¸¸ ³ë·¡°¡ ´ÙÇØ¸ÔÀ½ "
"246","ºñ¿­ÇÑ °Å¸®","8","ºñ¿­ÇÑ °Å¸®³­ ÀÌº¸¿µÀÌ ¿ÖÄÉ ºÒ½ÖÇÏÁö.. "
"247","È£µÎ±î±â ÀÎÇü°ú 4°³ÀÇ ¿Õ±¹","10","È£µÎ±î±â ÀÎÇü°ú 4°³ÀÇ ¿Õ±¹¿µ»óµµ È­·ÁÇÏ°í ¹è°æÀ½¾Çµµ ³Ê¹«³Ê¹« ÁÁ¾Ò¾î¿ä¤¾¤¾ "
"248","º¸Çì¹Ì¾È ·¦¼Òµð","8","º¸Çì¹Ì¾È ·¦¼Òµð½ºÅä¸®¶óÀÎÀº Á¶±Ý ¾û¼ºÇÑ ºÎºÐÀÌ ÀÖÀ¸³ª ÄýÀÇ ÀÏ´ë±â¸¦ ¿ä¾àÇÏ¿© ¿©ÁÖ°í, ³ë·¡´Â  °£Á¢ÀûÀ¸·Î ¸¹ÀÌ ¶æ¸ð¸£°Ô ¸¹ÀÌ µé¾î¿Ô´Âµ¥ ¿µÈ­ ÀÚ¸·À¸·Î ³ë·§¸»À» ÀÌÇØÇÏ¸ç ³ë·¡¸¦ µé¾î¼­ ÁÁ¾Ò´ø ¿µÈ­ "
"249","¹°±«","1","¹°±«Çý¸®°¡ ¾ÆºÎÁö ÇÒ¶§ Çö´ë±ØÀÎÁÙ.. "
"250","È£µÎ±î±â ÀÎÇü°ú 4°³ÀÇ ¿Õ±¹","8","È£µÎ±î±â ÀÎÇü°ú 4°³ÀÇ ¿Õ±¹¿µ»ó¹Ì¶û ¸ÅÄËÁö Æ÷ÀÌ ¹Ì¸ð´Â °Á ÃÖ°í´Ù "
"251","ÈÄµå","9","ÈÄµåÈ°À» ÃÑ½îµí ÇÏ´Â ¼Ó»ç¾×¼Ç. ¹¬Á÷ÇÔÀº Àû¾îÁö³ª ½Ã¿ø½Ã¿øÇÏ°í ¸®µå¹ÌÄÃÇØ¼­ º¼¸¸ÇßÀ½ "
"252","´õ Å©¸®¹Ì³Î ¸¶ÀÎµå: °ø°øÀÇ Àû","8","´õ Å©¸®¹Ì³Î ¸¶ÀÎµå: °ø°øÀÇ Àû°µÀûÀ¸·Î Àç¹ÌÀÖ¾ùÀ½,,¸¸¾à ÁÖÀÎ°øÀÌ ¸¶Áö¸·¿¡ Á×¾úµû¸é ´õ°¨µ¿ÀûÀÌÁö¾ÊÀ»±î,, "
"253","º¸Çì¹Ì¾È ·¦¼Òµð","10","º¸Çì¹Ì¾È ·¦¼ÒµðÃÖ°íÀÇ ¿µÈ­°è½ï Äý ³ë·¡ µè´ÂÁß "
"254","´õ Å©¸®¹Ì³Î ¸¶ÀÎµå: °ø°øÀÇ Àû","10","´õ Å©¸®¹Ì³Î ¸¶ÀÎµå: °ø°øÀÇ ÀûÃÖ°íÀÔ´Ï´å Áß±¹¿µÈ­¹ßÀüÇß³×¿è "
"255","ÀÎÅ©·¹´õºí 2","10","ÀÎÅ©·¹´õºí 2±×³É º¸¼À. Ã·¿¡´Â ¸¶ºí¿¡¼­ ¸¸µé¾ú³ª? ±× Á¤µµÀÓ ¤»¤»¤» ´ë¹Ú Àë³²!! µðÁî´Ï È­ÀÌÆÃ!! "
"256","±¹°¡ºÎµµÀÇ ³¯","10","±¹°¡ºÎµµÀÇ ³¯20OOO ... °¡Àå Àß ¸¸µç ÇÑ±¹¿µÈ­ °°Àºµ¥:) "
"257","È£µÎ±î±â ÀÎÇü°ú 4°³ÀÇ ¿Õ±¹","8","È£µÎ±î±â ÀÎÇü°ú 4°³ÀÇ ¿Õ±¹µ¿½ÉÀÇ¼¼°è·Î! Àç¹Õ°Ô ºÃ¾î¿ä! "
"258","È£µÎ±î±â ÀÎÇü°ú 4°³ÀÇ ¿Õ±¹","10","È£µÎ±î±â ÀÎÇü°ú 4°³ÀÇ ¿Õ±¹¿ª½Ã ¿ùÆ® µðÁî´Ï!! ³Ñ °¨µ¿Àû!! "
"259","º¸Çì¹Ì¾È ·¦¼Òµð","9","º¸Çì¹Ì¾È ·¦¼ÒµðÀÌ ¿µÈ­¸¦ ¸è»ìÀâ°í ²ø°í°¡´Â ÄýÀÇ ³ë·¡¿¡ Âù»ç¸¦ "
"260","µ¿³×»ç¶÷µé","8","µ¿³×»ç¶÷µé±×³É±×·³  Æ¼ºñ¿¡³ª¿À¸éº¸´Â°Å°­Ãß "
"261","ÇåÅÍ Å³·¯","10","ÇåÅÍ Å³·¯¸ôÀÔ°¨ÀÌ ÁÁ¾Ò°í ±â´ë ÀÌ»óÀá¼öÇÔ³»¿¡¼­µµ ±äÀå°¨ÀÖ°Ô Àß³ª¿Â°Å °°¾Æ Àç¹Õ¾úÀ½ ±Ùµ¥ ÇÏ·ç¿¡ ÇÑ¹ø ÇÏ´Â°Ç Á» ¾Æ´Ñ°Å °°¾Æ... ¾Æ½±´Ù "
"262","È£µÎ±î±â ÀÎÇü°ú 4°³ÀÇ ¿Õ±¹","10","È£µÎ±î±â ÀÎÇü°ú 4°³ÀÇ ¿Õ±¹µðÁî´ÏÀÇ »õ·Î¿î ÀÛÇ° Àßº¸°í ¿Ô½À´Ï´Ù "
"263","ÀÎ µð ¾ÆÀÏ","10","ÀÎ µð ¾ÆÀÏ¾î¶»°Ô »ì¾Æº¼±î °í¹ÎÇÏ´Ù°¡ ¸¶ÁÖÄ£ »îÀÇ ÀÚÁ¤ "
"264","¼º³­È²¼Ò","4","¼º³­È²¼Ò°³³ëÀë¤Ð¤Ð¤ÐÁøÁö¤Ð¤Ð "
"265","µµ¾î¶ô","8","µµ¾î¶ôÀú´Â ±â´ëÀÌ»óÀ¸·Î ³Ê¹« Àç¹ÌÀÖ°Ô ºÃ¾î¿ä "
"266","º¸Çì¹Ì¾È ·¦¼Òµð","2","º¸Çì¹Ì¾È ·¦¼Òµð9Á¡´ë´Â ¾Æ´Ï¿©¼­ 2Á¡ ÁÝ´Ï´Ù 7Á¡ÀÌ¸é Àû´çÇÒ°Í °°½À´Ï´Ù ¿À´Ãº¸°í¿È "
"267","±¹°¡ºÎµµÀÇ ³¯","1","±¹°¡ºÎµµÀÇ ³¯ÁÂÁ»µéÀÇ Á¶ÀÛÁúÀÌ ±Ø¿¡ ´ÞÇß±¸³ª. IMF°¡ ÀÇµµµÈ ºÎµµ? ºÏ±«¿¡ ÆÛÁÖ°í ÀÖ´Â Áö±ÝÀÌ¾ß¸»·Î ±¹°¡ºÎµµÀÇ ½Ã±âÀÌ´Ù. "
"268","È£µÎ±î±â ÀÎÇü°ú 4°³ÀÇ ¿Õ±¹","9","È£µÎ±î±â ÀÎÇü°ú 4°³ÀÇ ¿Õ±¹¿¹»ó °¡´ÉÇÑ ½ºÅä¸®¿´Áö¸¸ ´«ÀÌ Áñ°Å¿ì´Ï ±×°É·Î ÃæºÐÈ÷ ¸¸Á·½º·´´Ù "
"269","È£µÎ±î±â ÀÎÇü°ú 4°³ÀÇ ¿Õ±¹","8","È£µÎ±î±â ÀÎÇü°ú 4°³ÀÇ ¿Õ±¹¾î¸¥ÀÎ Á¦°¡ ºÁµµ ³Ñ ¾Æ¸§´Ù¿î ¿µÈ­¿¡¿ä "
"270","¹Ì½º »çÀÌ°ø: 25ÁÖ³â Æ¯º° °ø¿¬","10","¹Ì½º »çÀÌ°ø: 25ÁÖ³â Æ¯º° °ø¿¬ ¿ª´ë ¹Ì½º»çÀÌ°øÁß °¡Àå Àß¾î¿ï¸®´Â ¿©¹è¿ì ¿¬±â ³ë·¡Â¯ÀÔ´Ï´Ù. ³²ÀÚÁÖÀÎ°øµÎ ³Ê¹« ¿¬±âÀßÇÏ°í µÑÀÌ Á¤¸» Àß¾î¿ï¸². ¿£Áö´Ï¾î¿ªÀÌ ÁøÂ¥ ÃÖ°íÀÓ .¿¬±â°¡ ¸ö¿¡ Èû»©°í ÀÚ¿¬½º·´°ÔÇØ¼­ ³Ê¹«ÁÁ¾Ò¾î¿ä. ÇÑ±¹ ¹ÂÁöÄÃ ³Ê¹« Èûµé¾î°£ ±Ø´ë»çÅæ ¾×ÆÃÀÌ ¿©±ä ¾ø¾î¿ä. "
"271","È£µÎ±î±â ÀÎÇü°ú 4°³ÀÇ ¿Õ±¹","8","È£µÎ±î±â ÀÎÇü°ú 4°³ÀÇ ¿Õ±¹¹Ì¼úÀÌ ³Ê¹« ¿¹»µ¼­ ºüÁ® µé¾ú½À´Ï´Ù~ "
"272","º¸Çì¹Ì¾È ·¦¼Òµð","10","º¸Çì¹Ì¾È ·¦¼ÒµðÃÖ°íÀÇ À½¾Ç¿µÈ­ÀÔ´Ï´Ù ÄýÀÇ ±ÍÈ¯ "
"273","¾ÆÀÌ, Åä³Ä","10","¾ÆÀÌ, Åä³Ä°¡Á¤Æø·Â ³²Æí ¶§¹®¿¡ ¿Ã¸²ÇÈÃâÀü±âÈ¸µµ ¿©ÀÚ·Î¼­ÀÇ ÀÎ»ýµµ µÑ ´Ù ¸ÁÃÆ³×¿ä "
"274","È£µÎ±î±â ÀÎÇü°ú 4°³ÀÇ ¿Õ±¹","9","È£µÎ±î±â ÀÎÇü°ú 4°³ÀÇ ¿Õ±¹Àç¹ÌÀÖ°í¿ô±â°í½º¸±ÀÖ½ºÅä¸® °¡Á·¿µÈ­·Îµü "
"275","µµ¾î¶ô","8","µµ¾î¶ô¿ÏÀü Àç¹Õ¾î¿ä ÃßÃµÇÕ´Ï´Ù "
"276","±ú²ýÇÏ°í ¿¬¾àÇÑ","6","±ú²ýÇÏ°í ¿¬¾àÇÑÁß ÈÄ¹Ý¿¡ °ø°¨ÀÌ³ª ¼³µæÀÌ ¾ÈµÇ°í ¾ïÁö·Î ²ø°í °¡´Â ºÎºÐÀÌ ¸¹´Ù "
"277","±¹°¡ºÎµµÀÇ ³¯","10","±¹°¡ºÎµµÀÇ ³¯²À!!!!´ëÇÑ¹Î±¹ »ç¶÷ÀÌ¶ó¸é º¸¼¼¿ä!!!!±×¶§½ÃÀý ¹«³­ÇÏ°Ô »ì°ÔÇØÁØ ºÎ¸ð´Ô¿¡°Ô °¨»çÇÑ ¸¶À½ÀÌ µé°ÔÇÏ°í ÇöÀç °æÁ¦¿¡ ´ëÇÏ¿© ´Ù½Ã »ý°¢À» ÇÏ°Ô µÇ´Â ¿µÈ­ÀÔ´Ï´Ù. "
"278","±¹°¡ºÎµµÀÇ ³¯","10","±¹°¡ºÎµµÀÇ ³¯¸ðµç ¹è¿ìºÐµéÀÇ ¿¬±â·ÂÀÌ ¶Ù¾î³ª¼­ ½Ã°£°¡´ÂÁÙ ¸ð¸£°í ÁýÁßÇØ¼­ ºÃ±¸¿ä²À ÇÑ¹ø ´Ùµé ºÁ¾ßµÉ ¿µÈ­¶ó°í »ý°¢ÇÕ´Ï´Ù! "
"279","È£µÎ±î±â ÀÎÇü°ú 4°³ÀÇ ¿Õ±¹","8","È£µÎ±î±â ÀÎÇü°ú 4°³ÀÇ ¿Õ±¹¸ÆÄËÁö Æ÷ÀÌ°¡ ³Ê¹«³Ê¹« ¿¹»¼´Ù.. "
"280","·ÏÅ° ¹ßº¸¾Æ","8","·ÏÅ° ¹ßº¸¾Æ·ÏÅ° ¹ßº¸¾Æ ÀÌ¸§À» Á¦¸ñÀ¸·Î ÇÑ ´À³¦ÀÌ ¿Â´Ù. ·ÏÅ°ÀÇ ¸ðµç°Í. ½ºÅÅ·ÐÀÇ ¸ðµç °ÍÀ» ½ñ¾Æ³½ ³ëÀåÀÇ ÅõÈ¥ÀÌ ´À²¸Áø´Ù "
"281","±¹°¡ºÎµµÀÇ ³¯","7","±¹°¡ºÎµµÀÇ ³¯¹º¼Ò¸°Áø¾Ë¾Æ¸ÔÁø¸øÇÏ°ÚÁö¸¸º¼¸¸ÇÑ¿µÈ­...±×¸®°í±×¶§ÀÇÀ­´ë°¡¸®µéÀÇ¾ÈÀÏÇÑ´ëÃ³°¡Áö±ÝÀÇÀþÀº¼¼´ëµé¿¡°ÔÅ«°íÅëÀ»¾È°ÜÁÖ¾ú´Ù´Â°É´À³¢¸çÂü¾¹¾µÇß´Ù...ÆòÁ¡Àº7.6Á¡ÁÖ°í½Í´Ù "
"282","È£µÎ±î±â ÀÎÇü°ú 4°³ÀÇ ¿Õ±¹","10","È£µÎ±î±â ÀÎÇü°ú 4°³ÀÇ ¿Õ±¹¿ø·¡ ¾Ë°í ÀÖ´ø ÀÌ¾ß±â¿Í´Â Á» ´Þ¶óÁ³Áö¸¸ Àç¹Ì´Â ÀÖ¾ú¾î¿ä~ ¾ÆÀÌµéÀÌ ³Ê¹« ÁÁ¾ÆÇØ¿ä! "
"283","º¸Çì¹Ì¾È ·¦¼Òµð","10","º¸Çì¹Ì¾È ·¦¼Òµð°¨µ¿ °¨µ¿ ±×ÀÚÃ¼ÀÔ´Ï´ç "
"284","¸ðÅÐ ¿£Áø","3","¸ðÅÐ ¿£Áø½ºÅä¸®µµ À¯Ä¡ÇÏ°í, ½ºÅä¸® °³¿¬¼ºµµ ¾ø°í, ¶á±Ý¾ø´Â Áß±¹»Í¿¡, µµ´ëÃ¼ 10Á¡ ÁÖ´Â »ç¶÷µéÀº ¹¹ÇÏ´Â »ç¶÷ÀÎÁö;; ±×³ª¸¶ °Ç¹°µé ¿òÁ÷ÀÌ°í ºÎ¼­Áö´Â CG¸¸ º¼¸¸ÇÔ. ÁøÂ¥ Áß±¹¹è¿ìµéÀÌ Æ®·£½ºÆ÷¸Ó¿¡¼­³ª ³ª¿Ã¹ýÇÑ ¿À±Û°Å¸®´Â ´ë»çÇÏ´Â°Å´Â ÁøÂ¥ ¸øºÁÁÖ°Ú´õ¶ó.. "
"285","¸ðÅÐ ¿£Áø","8","¸ðÅÐ ¿£Áø´«»ÍÀº ÃæÁ·µÇ³ª °³¿¬¼ºÀº Áõ¹ßµÊ "
"286","¾Ï¼ö»ìÀÎ","9","¾Ï¼ö»ìÀÎÁÖÁöÈÆ ¿¬±â ¤©¤·ÀßÇÏ´õ¶ó "
"287","±ØÀåÆÇ ÆÄ¿ö·¹ÀÎÀú °¶·°½ÃÆ÷½º VS ½ºÆäÀÌ½º ½ºÄõµå","2","±ØÀåÆÇ ÆÄ¿ö·¹ÀÎÀú °¶·°½ÃÆ÷½º VS ½ºÆäÀÌ½º ½ºÄõµå¿ìÁÖ°æÂû ³ª¿Â°Ç ÁÁ¾Ò´Âµ¥,..ºñµð¿À¿ëÀ» ¿Ö ±ØÀå¿¡¼­ °³ºÀÇß´ÂÁö ÆÄ¿ö·¹ÀÎÀú¿¡¼­ ·Îº¿ÀÌ ¾È ³ª¿À¸é ¹» ÇÏ°Ú´Ù´Â°ÇÁö ±×³É »ç¶÷µé¸¸ µ¹¾Æ´Ù´Ï´õ¸¸ "
"288","È£µÎ±î±â ÀÎÇü°ú 4°³ÀÇ ¿Õ±¹","10","È£µÎ±î±â ÀÎÇü°ú 4°³ÀÇ ¿Õ±¹Á¤¸» µðÁî´Ï½º·¯¿ü´ø¤¾¤¾ ¹Ï°í º¸´Â µðÁî´Ï ¿µÈ­¤¾¤¾ "
"289","È£µÎ±î±â ÀÎÇü°ú 4°³ÀÇ ¿Õ±¹","10","È£µÎ±î±â ÀÎÇü°ú 4°³ÀÇ ¿Õ±¹¿µ»ó¹Ì ÁÁ°í ¹ß·¹µµ ÁÁ¾Æ¿ä~~ "
"290","µµ¾î¶ô","3","µµ¾î¶ô»·ÇÑ ½ºÅä¸®¿¡¼­ »·ÇÑ °á¸» À½,, ´©°¡ ¹üÀÎÀÏÁö Áß°£¿¡ ´Ù ¾Ë¾ÆÃ¨..ÀÌ¹Ì ¹üÀÎÀ» ¾Ë¾Æ¼­ ¹ÝÀüµµ ¾ø°í ,, ±×³É  À½,,,´Ù¸¥°Å º¸´Â°Ô ÁÁ¾Æ¹«¼­¿î°Íµµ ¾ø°í ±×³É °©ÀÚ±â Å«¼Ò¸® ³»¼­ ±ôÂ¦³î¶ó´Â°Í 2¹ø? »©°í´Â ÇÏ³ªµµ ¾È¹«¼Å "
"291","È£µÎ±î±â ÀÎÇü°ú 4°³ÀÇ ¿Õ±¹","8","È£µÎ±î±â ÀÎÇü°ú 4°³ÀÇ ¿Õ±¹°Ü¿ïÀ» Àú°ÝÇÑ °¡Á· µå¶ó¸¶! "
"292","µ¶Àü","6","µ¶Àü...±×³É µ¶Àü¸¸ º¼²¬,,, "
"293","±¹°¡ºÎµµÀÇ ³¯","4","±¹°¡ºÎµµÀÇ ³¯ÇÑ¹ø¸¸ ºÁµµ µÉ¸¸ÇÑ ¿µÈ­ "
"294","º¸Çì¹Ì¾È ·¦¼Òµð","6","º¸Çì¹Ì¾È ·¦¼ÒµðÄýÀ» ¾Æ´Â ±×¼¼´ë¸¸ ¿­±¤ÇÒ ¿µÈ­ È¤ ÄýÀ» ¾È´Ù°íÇØµµ º°·ÎÀÎ¿µÈ­ "
"295","ÇåÅÍ Å³·¯","10","ÇåÅÍ Å³·¯Àç¹Ô¾î¿ä Á¦¶óµå¹öÆ²·¯ Â¯ "
"296","¿Ïº®ÇÑ Å¸ÀÎ","10","¿Ïº®ÇÑ Å¸ÀÎÁøÂ¥ ÄÚ¹Ìµð Á¤½Å¾øÀÌ ¿ô°í ±³ÈÆµµ ÀÖ¾î¿ä "
"297","È£µÎ±î±â ÀÎÇü°ú 4°³ÀÇ ¿Õ±¹","10","È£µÎ±î±â ÀÎÇü°ú 4°³ÀÇ ¿Õ±¹º¸´Â³»³» µ¿È­¼Ó¿¡ µé¾î°¡ÀÖ´Â ±âºÐ.. ¿µ»ó¿¡ ºüÁö±â¿£ ÃæºÐÇÏ´Ù "
"298","¸ðÅÐ ¿£Áø","8","¸ðÅÐ ¿£Áø¼ÖÁ÷È÷ ±â´ëÇÏÁö ¾Ê¾Ò´Âµ¥, ½ºÅä¸®µµ ±¦Âú°í Àû´çÇÑ ±äÀå°¨ À¯ÁöÇÏ¸é¼­ ÁÁ¾Ò´Ù Æ¯È÷ ºñÁê¾óÀº ¾ÐµµÀûÀÌ¶ó°í ÇÒ±î *´ÜÁö ÇÏ¿ïÀÇ ¿òÁ÷ÀÌ´Â ¼º, ¶óÇ»Å¸, ½ºÅ¸¿öÁî¸¦ ºñº­³õÀº µí... "
"299","µµ¾î¶ô","1","µµ¾î¶ô²ÃÆä¹ÌÀÇ ¸Á»ó¼¼°è¸¦ ±¸ÇöÇÏ±â À§ÇØ ¿Â°® È²´çÇÑ ¼³Á¤À» ¾¥¼Å³ÖÀ½. º¸¸é¼­ Çê¿ôÀ½¹Û¿¡ ¾È³ª¿Í¼­ ¤»¤»¤» "
"300","È£µÎ±î±â ÀÎÇü°ú 4°³ÀÇ ¿Õ±¹","10","È£µÎ±î±â ÀÎÇü°ú 4°³ÀÇ ¿Õ±¹ÁÁ¾Ò¾î¿ä¤»¤» º¼°Å¸®µµ ÀÖ°í ³Ñ Àç¹Õ¾ú½À´Ï´Ù "
"301","µµ¾î¶ô","10","µµ¾î¶ôÀü ÁÁ¾Ò¾î¿ä ¤»¤»Áö·çÇÏÁö ¾Ê°í "
"302","º¸Çì¹Ì¾È ·¦¼Òµð","10","º¸Çì¹Ì¾È ·¦¼Òµð70³â´ë ¾ÈÅÂ¾î³­°Ô ÇÑ½º·´³×¿ä "
"303","µ¿³×»ç¶÷µé","2","µ¿³×»ç¶÷µé¸¶µ¿¼®ÀÌ ¶§¸±¶§¸¸ ¸ÚÀÖ¾úÀ½ "
"304","±¹°¡ºÎµµÀÇ ³¯","8","±¹°¡ºÎµµÀÇ ³¯ÁÁ¾Ò¾î¿ä ±èÇý¼ö ¿¬±âÁÁ¾Ò¾î¿ä "
"305","Ä£±¸","10","Ä£±¸À¯¿À¼º Á×°í½Í³ª ÇÒ¶§ ÂÌÀº»ç¶÷? "
"306","ÀÎÅÍ½ºÅÚ¶ó","10","ÀÎÅÍ½ºÅÚ¶ó»ç¶÷µéÀÌ Âù¾çÇÏ±æ·¹ º¸°í¿Ô´Âµ¥Áö½Ä1µµ¾øÀ½¿¡µµ ºÒ±¸ÇÏ°í Ã³À½ºÎÅÍ ³¡±îÁö ¸ôÀÔÇÏ¸ç º»°Å°°´Ù¾ÆÁ÷ ¸øº»ºÐ °è½Ã¸é ²À º¸¼¼¿ä "
"307","µµ¾î¶ô","10","µµ¾î¶ô¹Ø¿¡ ³»¸®´Ùº¸¸é °³³ä¾ø´Â »ç¶÷ÀÌ ¹üÀÎ ´©±ºÁö ½á³ù³×¤»¤»¤»¤»Á¶½ÉÇÏ¼¼¿ä ¿µÈ­º¸°í ÆòÁ¡ºÁ¼­ ´ÙÇàÀÌÁö °ÅÀÇ Å×·¯¼öÁØÀÌ³× ¿µÈ­´Â Àç¹ÕÀ½ ¿ÃÇØ º» ½º¸±·¯ Áß¿¡ Á¦ÀÏ Àç¹Õ¾úÀ½ "
"308","º¸Çì¹Ì¾È ·¦¼Òµð","3","º¸Çì¹Ì¾È ·¦¼ÒµðÀü ½î½î¿´¾î¿ä~ ±×³É ±×·¨³×¿ä "
"309","ÀÎÅÍ½ºÅÚ¶ó","10","ÀÎÅÍ½ºÅÚ¶ó³î¶õ, µµ´ëÃ¼ ´ç½ÅÀÇ ³¡Àº ¾îµðÀÎ°¡.. "
"310","·±´×¸Ç : Ç®·ê·çÀÇ ¿ª½À","10","·±´×¸Ç : Ç®·ê·çÀÇ ¿ª½À¾ÆÀÌ°¡ Àç¹ÌÀÖ°Ô º¸³×¿ä "
"311","ÇåÅÍ Å³·¯","10","ÇåÅÍ Å³·¯Àç¹ÌÀÖ½À´Ï´Ù Áö·çÇÒÆ´ÀÌ¾ø³×¿ä ÃßÃµ "
"312","º¸Çì¹Ì¾È ·¦¼Òµð","10","º¸Çì¹Ì¾È ·¦¼Òµð¾ÆÀÌ¿öÁîº»Åõ·¯ºêÀ¯ µè°íÆÍ´Âµ¥ ¾È³ª¿À³×¿ä¤Ð¤Ð "
"313","¿ø´õÇ® °í½ºÆ®","5","¿ø´õÇ® °í½ºÆ®³Ê¹« Áö·çÇß¾î.. ¤Ì¤Ì ¾ðÁ¦ ³¡³ª³ª ÇÏ°í ³¡³ª´Â ½Ã°£ÀÌ ±â´Ù·ÁÁú Á¤µµ.. ±×¸®°í °è¼Ó µÞ¾ê±â°¡ »·È÷ º¸ÀÓ.. ³Ê¹« ÀüÇüÀûÀÎ ´©±¸³ª »ý°¢ÇÒ¼ö ÀÖ´Â ½ºÅä¸®.. ¸¶ºí¸®¸¦ À§ÇØ 5Á¡ ³²±è.. ¿µÈ­´Â2Á¡ "
"314","º¸Çì¹Ì¾È ·¦¼Òµð","10","º¸Çì¹Ì¾È ·¦¼Òµð20OOOµµ ÃÖ°íÀÇ ¿µÈ­ "
"315","µµ¾î¶ô","6","µµ¾î¶ôÇö½Ç°ø°¨Àº ¹«½¼.. ³ª°°À¸¸é ´ëÀüÁý ³»·Á°¬´Ù Á÷Àåµµ Â©·È´Âµ¥ ±»ÀÌ¿Ö...¿Ö ±×Áý¿¡ ²à²àÀÌ ´Ù½Ã µå°¡³Ä...¤Ð¤Ð "
"316","·Î¾â ¾îÆä¾î","9","·Î¾â ¾îÆä¾îÇÁ·¹µ¥¸¯ÀÌ ¾Æ¹öÁöÃ³·³ ¹ÌÄ¡Áö¾Ê¾Æ¼­ ´ÙÇàÀÌ´Ù "
"317","±¹°¡ºÎµµÀÇ ³¯","9","±¹°¡ºÎµµÀÇ ³¯Áß°£¿¡´«¹°³ª¿Í¼­¤Ð¤Ð "
"318","Çù»ó","8","Çù»ó³ª¸§ º¼¸¸Çß¾úÁö¸¸ ¸¶Áö¸· ÇöºóºÎºÐ °³¿À±×¶óµé¾úÀ½ "
"319","µµ¾î¶ô","9","µµ¾î¶ô±ô³îÇÏ´ÂºÎºÐÀÌ ²ÏÀÕ³×¿ä ±¦Âú½À´Ï´Ù~ "
"320","¼Ò³àÀÇ ¼¼°è","7","¼Ò³àÀÇ ¼¼°è¼Ò³à ½ÃÀýÀÇ ÀÖÀ» ¹ýÇÑ °¨Á¤À» ¼Ò³à°¨¼ºÀ¸·Î Àß ±×·È´Ù "
"321","±¹°¡ºÎµµÀÇ ³¯","10","±¹°¡ºÎµµÀÇ ³¯°£¸¸¿¡ Àç¹ÌÀÖ´Â ¿µÈ­”f½À´Ï´Ù. "
"322","°õµ¹ÀÌ Çª ´Ù½Ã ¸¸³ª Çàº¹ÇØ","10","°õµ¹ÀÌ Çª ´Ù½Ã ¸¸³ª Çàº¹ÇØÁøÂ¥ ¿µÈ­¸é¼­ °¨µ¿ÀûÀÌ°í ½½ÇÁ°í µû¶æÇÑ¿µÈ­³×¿ä ÇÑÂüÀ» ¿ï¾ú³×¿ä "
"323","µµ¾î¶ô","10","µµ¾î¶ôÇö½Ç¿¡ ÀÖÀ» ¹ýÇÑ ÀÌ¾ß±â¶ó ´õ ¼Ò¸§.. °øÈ¿ÁøÀÇ Çàµ¿ÀÌ ³Ê¹« ´ä´äÇÑ ¸éµµ ÀÖ±ä ÇßÁö¸¸,,, Á¦¹ß µé¾î°¡Áö¸¶ µé¾î°¡Áö¸¶ ³»Àû ºñ¸í Áú·¯µµ ÀÌ·± ¿µÈ­ ÁÖÀÎ°øµéÀº ±øµµ ¼¼Áö.. ´Ùµé µé¾î°¡´õ¶ó¤Ð ±×¸®°í Ãæ°ÝÀûÀÎ °æ±¤ ¸¶ÁÖÇÏ°í¤Ð ±×·¡µµ ³»¿ëÀº ÁÁÀº ¿µÈ­¿´´Ù! "
"324","ÁÖ¸Ô¿Õ ¶öÇÁ","10","ÁÖ¸Ô¿Õ ¶öÇÁ¿Í..¹«½¼ ½ºÅä¸®°¡ ÀÌ·¸°Ô µüµüµé¾î¸Â°Ô ¿Ïº®ÇÑÁö...ÁøÂ¥ ÁýÁßÇØ¼­ º¸°ÔµÇ³×¿ä ¾Öµé¿µÈ­°¡ ¾Æ´Ï³×¿ä..¾Ö´Ï¸ÞÀÌ¼ÇÀÎµ¥ ¾Þ°£ÇÑ ´Ù¸¥¿µÈ­º¸´Ù ½ºÅä¸®ÅºÅº...µÎ¹øº¸°ÔµÇ³×¿ä "
"325","È£µÎ±î±â ÀÎÇü°ú 4°³ÀÇ ¿Õ±¹","2","È£µÎ±î±â ÀÎÇü°ú 4°³ÀÇ ¿Õ±¹..Á¦¸ñ¸¸È£µÎ±î±âÀÎÇü¤» "
